Region,CO2 Emissions,Ease of Business,Energy Usage,GDP,Internet Usage,Population Total
Asia,2655,141,2414,2830236054,0.038,6954522
Asia,3223,141,2583,3719497371,0.072,7111025
Asia,3033,141,2473,5161336170,0.088,7275252
Asia,2893,141,2333,4979481980,0.101,7447396
Asia,2860,141,2370,5642178580,0.116,7627326
Asia,2860,141,2395,6522732203,0.13,7814850
Asia,2860,141,2395,7633049792,0.145,8008990
Africa,5618,136,17141,14141916592,0.011,38824384
Africa,5959,136,17809,14331231239,0.013,39942347
Africa,6150,136,18306,16825547176,0.016,41119693
Africa,6538,136,18921,20715086119,0.019,42353790
Africa,6447,136,19345,21368165400,0.024,43639752
Africa,6846,136,20043,22915004297,0.029,44973330
Africa,6846,136,20747,23874165047,0.035,46354607
Africa,6846,136,20747,28248631876,0.04,47783107
Asia,256169,18,99166,1.76E+11,0.15,65559487
Asia,261211,18,101043,2.07E+11,0.172,65883961
Asia,262205,18,104886,2.47E+11,0.2,66076927
Asia,261838,18,107656,2.73E+11,0.182,66185340
Asia,276587,18,107300,2.64E+11,0.201,66277335
Asia,295282,18,117429,3.19E+11,0.224,66402316
Asia,295282,18,119147,3.46E+11,0.237,66576332
Asia,295282,18,119147,3.66E+11,0.265,66785001
Asia,161,167,58,350100000,0.265,853585
Asia,161,167,58,429700000,0.265,871353
Asia,161,167,58,426700000,0.265,899367
Asia,161,167,58,436500000,0.265,933369
Asia,176,167,58,455500000,0.265,966987
Asia,176,167,58,479100000,0.001,982889
Asia,180,167,59,462600000,0.001,999053
Asia,183,167,61,558700000,0.001,1015482
Asia,191,167,61,693800000,0.002,1032182
Asia,183,167,61,826700000,0.002,1049156
Asia,183,167,61,934300000,0.002,1066409
Asia,183,167,61,1128300000,0.009,1120392
Asia,183,167,61,1355000000,0.009,1148958
Africa,1338,159,2372,2115154090,0.018,5540214
Africa,1221,159,2368,2202809211,0.02,5685845
Africa,1316,159,2458,2523462649,0.022,5834806
Africa,1456,159,2563,3163416556,0.024,5987491
Africa,1503,159,2628,3163000591,0.026,6144457
Africa,1540,159,2692,3172945506,0.03,6306014
Africa,1540,159,2764,3756023048,0.035,6472304
Africa,1540,159,2764,3915754216,0.04,6642928
Oceania,121,60,57,188623258,0.024,97962
Oceania,143,60,57,167042880,0.028,98504
Oceania,147,60,57,181801947,0.029,99083
Oceania,176,60,57,208098552,0.03,99691
Oceania,172,60,57,240794581,0.04,100319
Oceania,158,60,57,264812954,0.049,100960
Oceania,176,60,57,295998379,0.059,101617
Oceania,154,60,58,301064027,0.072,102289
Oceania,161,60,58,346850176,0.081,102947
Oceania,172,60,58,318522296,0.1,103557
Oceania,158,60,58,369212477,0.16,104098
Oceania,158,60,58,423038017,0.25,104554
Oceania,158,60,58,471575497,0.349,104941
The Americas,24514,63,10854,8154315708,0.077,1267980
The Americas,25024,63,11762,8824873156,0.154,1272347
The Americas,26890,63,12540,9008273516,0.22,1277723
The Americas,27697,63,13541,11235960523,0.26,1283868
The Americas,30993,63,14115,12884712296,0.27,1290379
The Americas,28581,63,16880,16088526686,0.29,1296933
The Americas,32152,63,19585,18460905284,0.3,1303478
The Americas,46461,63,20331,21830397705,0.323,1310040
The Americas,42541,63,19563,28165793618,0.348,1316449
The Americas,48177,63,20277,19332270662,0.443,1322518
The Americas,50682,63,21370,20758191858,0.485,1328095
The Americas,50682,63,20918,23676348287,0.552,1333082
The Americas,50682,63,20918,23436342520,0.595,1337439
Africa,19923,49,7306,21473188882,0.028,9563500
Africa,20818,49,7711,22066101341,0.043,9673600
Africa,21016,49,7814,23141757278,0.053,9781900
Africa,21397,49,8028,27453084983,0.065,9839800
Africa,22446,49,8463,31183139301,0.085,9932400
Africa,22801,49,8314,32282960678,0.097,10029000
Africa,23128,49,8752,34378437265,0.13,10127900
Africa,23869,49,9039,38920218579,0.171,10225100
Africa,25013,49,9427,44856586316,0.275,10328900
Africa,24807,49,9193,43454935940,0.341,10439600
Africa,25878,49,9674,44054072936,0.368,10549100
Africa,25878,49,9504,45951129422,0.391,10673800
Africa,25878,49,9504,45238491581,0.414,10777500
Europe,333869,140,142883,86142018069,0.037,47105150
Europe,326480,140,137333,1.08E+11,0.045,46787750
Europe,327595,140,137343,1.43E+11,0.066,46509350
Europe,323459,140,134562,1.80E+11,0.11,46258200
Europe,261813,140,114420,1.17E+11,0.179,46053300
Europe,304805,140,132308,1.36E+11,0.233,45870700
Europe,304805,140,126438,1.63E+11,0.287,45706100
Europe,304805,140,126438,1.77E+11,0.353,45593300
Europe,541986,11,222638,2.32E+12,0.7,60401206
Europe,542041,11,218961,2.48E+12,0.688,60846820
Europe,528906,11,210993,2.86E+12,0.751,61322463
Europe,522467,11,208209,2.69E+12,0.784,61806995
Europe,475108,11,196485,2.21E+12,0.836,62276270
Europe,493505,11,201829,2.30E+12,0.85,62766365
Europe,493505,11,188074,2.46E+12,0.854,63258918
Europe,493505,11,192381,2.46E+12,0.875,63695687
The Americas,5826394,4,2318861,1.31E+13,0.68,295516599
The Americas,5737616,4,2296686,1.39E+13,0.689,298379912
The Americas,5828697,4,2337014,1.45E+13,0.75,301231207
The Americas,5656839,4,2277034,1.47E+13,0.74,304093966
The Americas,5311840,4,2164458,1.44E+13,0.71,306771529
The Americas,5433057,4,2215504,1.50E+13,0.717,309326295
The Americas,5433057,4,2191193,1.55E+13,0.697,311582564
The Americas,5433057,4,2132446,1.62E+13,0.793,313873685
The Americas,5776,85,2957,17362872710,0.201,3325155
The Americas,6648,85,3183,19579479147,0.294,3330217
The Americas,5999,85,3172,23410536914,0.34,3338384
The Americas,8331,85,4153,30366148205,0.393,3348898
The Americas,7891,85,4134,30461322555,0.418,3360431
The Americas,6645,85,4174,38881102075,0.464,3371982
The Americas,6645,85,4430,47236710623,0.514,3383486
The Americas,6645,85,4430,50004354667,0.545,3395253
Asia,111888,156,46965,14307509839,0.033,26167000
Asia,116530,156,48872,17030896203,0.064,26488250
Asia,116944,156,48718,22311393928,0.075,26868000
Asia,120039,156,50512,27934030937,0.091,27302800
Asia,116607,156,44831,32816828373,0.171,27767400
Asia,104443,156,43747,39332770929,0.2,28562400
Asia,104443,156,47755,45324319955,0.302,29339400
Asia,104443,156,47755,51183443225,0.365,29774500
Oceania,55,78,30,394962552,0.051,209375
Oceania,48,78,31,437072934,0.059,214654
Oceania,95,78,35,526425740,0.068,220001
Oceania,92,78,35,607983815,0.073,225398
Oceania,117,78,35,610075807,0.075,230833
Oceania,117,78,35,700804286,0.08,236299
Oceania,117,78,35,785745262,0.092,241778
Oceania,117,78,35,786938335,0.106,247262
The Americas,181630,180,66558,1.46E+11,0.126,26725897
The Americas,171825,180,63705,1.83E+11,0.152,27190882
The Americas,175785,180,62934,2.30E+11,0.208,27655937
The Americas,186812,180,69597,3.16E+11,0.259,28120312
The Americas,185341,180,69597,3.29E+11,0.327,28583040
The Americas,201747,180,75502,3.94E+11,0.374,29043283
The Americas,201747,180,70198,3.16E+11,0.402,29500625
The Americas,201747,180,70198,3.81E+11,0.491,29954782
Asia,97942,98,41455,57633255739,0.127,82393500
Asia,102456,98,42475,66371664817,0.173,83313000
Asia,113651,98,45777,77414425532,0.208,84221100
Asia,127164,98,48984,99130304099,0.239,85122300
Asia,140057,98,53450,1.06E+11,0.266,86025000
Asia,150230,98,58912,1.16E+11,0.307,86932500
Middle East,20044,129,6589,16753787028,0.01,20139661
Middle East,20796,129,7054,19081726103,0.012,20661714
Middle East,21712,129,7014,25633674564,0.05,21182162
Middle East,22207,129,7208,30397203369,0.069,21703571
Middle East,23058,129,7764,27838718233,0.1,22229625
Middle East,21852,129,8360,31743751169,0.124,22763008
Africa,2274,90,7213,7178556337,0.029,11470022
Africa,2226,90,7396,10702200822,0.042,11781612
Africa,1654,90,7399,11541420981,0.049,12109620
Africa,1845,90,7641,14640792100,0.056,12456527
Africa,2156,90,7842,12805029522,0.063,12825031
