Region,CO2 Emissions,Ease of Business,Energy Usage,GDP,Internet Usage,Population Total
Africa,4334,65,1868,5489646903,0.034,1783349
Africa,4485,65,1916,5438856515,0.034,1808976
Africa,4265,65,1907,7511538765,0.033,1832602
Africa,4378,65,1857,8957491785,0.033,1854739
Africa,4613,65,1929,9931223496,0.033,1875805
Africa,4646,65,1956,10126990488,0.043,1895944
Africa,4701,65,2033,10939028155,0.053,1915187
Africa,4980,65,2151,11113042238,0.063,1933719
Africa,4397,65,2023,10106837286,0.062,1951715
Africa,5233,65,2263,13746712706,0.06,1969341
Africa,5233,65,2215,15292424757,0.08,1986701
Africa,5233,65,2215,14537490553,0.115,2003910
The Americas,321622,118,198976,5.52E+11,0.132,181752951
The Americas,337826,118,210042,6.64E+11,0.191,184010283
The Americas,347309,118,215332,8.82E+11,0.21,186142403
The Americas,347668,118,222818,1.09E+12,0.282,188134315
The Americas,363213,118,235460,1.37E+12,0.309,189996976
The Americas,387675,118,248594,1.65E+12,0.338,191765567
The Americas,367147,118,240464,1.62E+12,0.392,193490922
The Americas,419754,118,265887,2.14E+12,0.407,195210154
The Americas,419754,118,270028,2.48E+12,0.457,196935134
The Americas,419754,118,270028,2.25E+12,0.486,198656019
Asia,6527,79,2385,6001153318,0.09,331801
Asia,6197,79,2208,5601090584,0.129,339114
Asia,5321,79,2157,5843329102,0.153,346407
Asia,5357,79,2505,6557333067,0.196,353649
Asia,5361,79,2296,7872333197,0.297,360797
Asia,5126,79,2217,9531402830,0.365,367815
Asia,4822,79,3152,11470703002,0.422,374697
Asia,10176,79,3227,12247694247,0.447,381440
Asia,10583,79,3542,14393099069,0.46,388017
Asia,9094,79,3043,10732366286,0.49,394400
Asia,9160,79,3240,12369708859,0.53,400569
Asia,9160,79,3832,16691360399,0.56,406512
Asia,9160,79,3832,16953952625,0.603,412238
Europe,43531,57,18688,12903546765,0.054,8170172
Europe,46454,57,19416,13868600710,0.076,8020282
Europe,44635,57,18861,15979194511,0.091,7868468
Europe,47308,57,19399,20668176834,0.12,7823557
Europe,46787,57,18833,25283228366,0.181,7781161
Europe,47909,57,19898,28895083540,0.2,7739900
Europe,48943,57,20459,33209188739,0.271,7699020
Europe,52812,57,20117,42113656147,0.336,7545338
Europe,50792,57,19815,51824892678,0.397,7492561
Europe,42805,57,17512,48568714012,0.45,7444443
Europe,44679,57,17897,47726575741,0.462,7395599
Europe,44679,57,19216,53542780661,0.48,7348328
Europe,44679,57,19216,51303659418,0.519,7305888
Asia,1977,135,3412,3654031716,0,12222871
Asia,2252,135,3430,3979813388,0.001,12472586
Asia,2208,135,3994,4284028138,0.002,12709336
Asia,2380,135,4115,4658246907,0.003,12934369
Asia,2446,135,3389,5337833256,0.003,13149386
Asia,2776,135,3436,6293046162,0.003,13356424
Asia,3000,135,3429,7274424519,0.005,13555054
