Latitude,Longitude,DepthMeters,Magnitude
37.7466,-81.9334,12700,2.6
37.8866,-81.3493,14900,2.5
38.1144,-81.4019,3600,2.3
37.8096,-81.7568,5000,2.1
38.0416,-81.478,14400,2.5
38.2585,-81.5994,14200,2.7
38.3284,-81.0798,7600,2.2
38.1987,-81.7544,3500,2.3
38.0558,-81.6894,3000,2.4
38.0622,-81.4464,8500,2.9
37.4934,-82.4599,2600,2.5
37.9447,-81.4923,5400,2.4
38.0618,-81.3514,6300,2.6
38.042,-81.4796,8700,2.2
38.0051,-81.2542,13800,2.4
38.0391,-81.7011,8700,2.4
37.9737,-81.444,11500,2.5
43.3124,-73.6199,12100,1.7
37.4266,-82.4476,3700,1.8
38.069,-81.6888,3600,2.2
39.2891,-77.7965,14900,2.1
38.0444,-81.353,8900,2.6
42.9982,-76.3634,7700,2.4
44.2941,-73.6236,14000,1.8
37.9361,-81.5524,5000,2.5
44.3436,-74.1187,8600,1.8
38.2085,-81.7606,1900,2
37.5068,-82.1149,7100,2.2
37.4494,-82.0935,4100,2.2
37.2501,-81.4857,6400,2.8
38.1118,-80.467,9100,2.4
39.889,-77.5182,6000,2.2
43.0003,-76.3457,14900,2.2
37.9772,-81.4516,11900,2.4
37.9031,-81.5188,3100,2.6
37.8195,-82.157,400,1.9
39.5945,-81.4009,6400,2.4
38.4861,-80.5417,14900,2.5
37.7292,-82.0493,5000,2.3
37.5653,-82.3819,8400,1.4
37.824,-81.4974,13800,2.7
38.1102,-81.3622,9500,2.1
43.5329,-75.307,12900,1.8
37.8479,-81.7709,6900,2.1
38.0676,-81.715,1000,2.3
38.1812,-81.8342,1400,1.9
37.904,-81.2658,8900,2.5
38.0845,-81.6908,2100,2.2
38.0251,-81.6578,11500,2.3
37.7645,-81.9778,8900,2.1
37.6749,-82.5481,10800,2.5
38.0886,-81.6829,7200,2.4
45.0135,-74.1998333,8730,1.44
37.8041,-82.1037,200,2.4
37.8925,-81.7615,700,2.5
38.0732,-81.672,12900,2.2
42.5038,-73.8739,11100,2.2
37.8681,-81.7739,100,2.6
37.7652,-82.0516,400,2.7
37.9291,-81.6053,500,2.5
37.9723,-81.3528,1300,3
37.8882,-81.7575,200,2.6
37.7547,-82.0481,400,2.5
38.072,-81.3753,8500,2.4
38.0683,-81.6708,2300,2.5
37.2786,-81.7582,700,2.5
37.8313,-82.1416,1700,2.6
37.9984,-81.3935,100,1.8
41.463,-77.3571,300,2.4
38.2137,-81.8148,1400,2.3
43.0171,-76.3632,1400,2.1
41.4574,-77.3898,500,2.9
40.9683,-74.5673,400,2
37.7504,-81.9816,700,2.3
37.8738,-81.6288,2000,2.3
37.7547,-82.0108,1400,2.7
37.5163,-82.0801,1300,2.2
37.3548,-81.4058,1300,2.6
37.7369,-82.0957,1400,2.5
38.1099,-81.9724,11200,2.5
38.0617,-81.642,11200,2.7
43.3052,-73.6033,14600,1.7
43.0058,-76.3731,13900,1.6
37.4554,-82.1201,900,2.1
40.8136,-78.4597,900,2.2
41.4701,-77.3819,400,2.8
38.0946,-81.3493,7500,2.5
41.0013,-75.9051,4800,2.2
37.7578,-82.2463,3300,2.3
37.791,-82.0413,3600,2.4
38.129,-80.4611,4100,2.5
38.0882,-81.3798,9500,2.4
38.0733,-81.6806,1200,2
38.0702,-81.647,8600,2.7
38.0909,-81.6788,600,2.9
37.742,-82.0255,200,2.6
37.729,-82.299,800,2.7
37.8661,-81.7613,100,2.8
39.2071,-79.4208,15800,2.7
43.561,-75.231,1000,3.5
38.0889,-81.6664,900,2.5
38.176,-79.901,4000,2.8
40.4762,-78.5399,700,2
37.791,-82.2837,100,3
38.0526,-81.6522,11600,2.5
40.8938,-78.2597,4500,2
38.0873,-81.6765,4100,2.1
38.0163,-81.6948,500,2.9
42.514,-73.8466,14000,2.3
45.108,-74.608,16000,3.5
40.054,-76.967,2000,2
45.108,-74.61,16000,2.9
40.024,-74.813,5000,2.8
43.209,-74.2,4200,2.7
41.554,-73.658,7000,3
38.472,-82.772,11900,3.5
43.952,-74.258,8000,3.5
43.952,-74.258,8000,2.9
43.952,-74.258,7900,2.8
39.832,-75.66,5000,2
45.22,-73.98,11000,3.1
39.795,-75.524,5000,2.4
39.923,-76.316,5000,3
39.921,-76.355,5000,4.2
44.91,-73.48,12000,3.2
43.592,-73.937,1000,3.4
38.1025,-80.4351,11800,2.2
38.0889,-81.3656,11400,1.8
43.7601,-74.1234,11900,2.2
43.7505,-74.113,15800,1.9
39.7583,-79.7784,2200,2
37.7467,-82.031,8500,2.4
37.7632,-82.1792,3300,2.4
38.0608,-81.6582,8800,2.7
38.011,-80.5202,4200,2.4
40.2143,-80.984,12900,2.4
42.5064,-73.8551,18200,2.3
38.0373,-81.4486,13700,2.4
43.7536,-74.1217,8600,2.3
37.8242,-82.1916,7500,2.4
39.7366,-79.8154,9300,1.6
37.9926,-81.469,13200,2.4
42.9979,-76.0434,16300,2
42.9909,-76.3421,7600,3.3
39.7515,-76.1512,6300,1.4
41.4706,-77.3571,13400,2.5
39.4781,-76.6706,3900,1.8
38.0502,-81.6719,7600,2.4
38.0069,-80.5389,200,3
37.7632,-82.1985,1400,2.5
40.98,-73.83,6000,3.6
40.99,-73.84,5000,2.8
42.988,-74.213,5000,2.7
45.29,-73.45,5000,3.3
40.989,-73.833,5200,1.8
37.245,-80.494,11800,2.9
40.98,-73.834,6100,2.7
39.925,-76.293,5000,2.5
41.361,-74.37,7000,2.3
45.131,-74.246,24000,3.4
45.129,-74.233,17500,2.4
45.127,-74.244,23000,2.3
40.956,-74.82,7400,2.8
38.0716,-81.6811,14500,2.5
37.7374,-81.9582,8400,2.3
37.5709,-82.0522,1000,2.1
39.4705,-76.6481,5800,1.6
37.7524,-82.0065,2300,2.3
37.8277,-81.8089,7300,2.7
37.8227,-81.9028,7700,2.4
38.048,-81.7097,8000,2.5
37.5608,-82.0623,4600,2.2
44.375,-74.517,10000,3.8
44.995,-74.955,10000,3.5
39.425,-76.881,5000,2.6
41.953,-80.122,5000,2.5
41.151,-73.653,9400,2.7
37.941,-80.207,14700,3.5
42.63,-74.678,5000,4
38.276,-81.668,5000,3.2
45.232,-73.896,18000,3.8
39.564,-76.979,5000,2.4
39.848,-75.031,5000,2.2
41.07,-73.578,10000,3
40.363,-74.341,7900,3.1
41.239,-74.16,7000,2.5
39.876,-74.942,5000,2.5
40.35,-76.02,5000,1.6
40.35,-76.02,5000,2.2
40.35,-76.02,5000,2.1
37.7491,-82.0175,4200,2.6
37.7156,-82.0717,5800,2.7
38.3667,-81.0065,13600,2.8
37.7301,-82.0031,3800,2.7
37.8534,-81.549,8300,2.2
37.5723,-82.399,7400,2.4
37.7298,-81.8319,6100,2.4
38.0366,-81.4833,10300,2.6
38.0576,-81.5197,5900,1.9
43.9393,-73.3569,7200,1.9
38.0432,-81.6935,7900,2.7
38.2429,-81.5831,13700,2.6
38.1547,-81.8065,4700,2.5
37.8665,-81.5346,11500,2.7
37.9669,-81.4172,5400,2.4
37.8483,-81.5198,11900,2.6
37.894,-81.3065,7800,1.9
38.2572,-81.6162,3100,2.7
37.6079,-82.3821,5500,1.9
38.0703,-81.4616,4200,2.4
37.8965,-81.5819,3500,2
45.26,-74.12,8000,3.9
